                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.6927,                 2.0439,                 1.3354,                0.36081,                 0.3201,                0.28301,                0.15676,                 1.6391,                 1.9691,                 1.3138,                0.00802,                0.00802,                0.00802
                    103,                 1.6964,                 2.0414,                 1.3272,                0.36386,                0.31539,                 0.2819,                0.15665,                 1.6394,                 1.9673,                 1.3127,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.7029,                 2.0316,                 1.3328,                0.36206,                 0.3226,                0.28331,                  0.157,                 1.6377,                 1.9664,                 1.3111,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.7068,                 2.0408,                 1.3363,                0.36596,                0.32744,                0.28456,                0.15746,                 1.6371,                 1.9653,                 1.3101,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.6968,                 2.0274,                 1.3268,                0.36457,                0.33075,                0.28467,                0.15746,                 1.6359,                 1.9639,                 1.3091,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.6986,                 2.0267,                 1.3228,                0.36392,                0.33302,                0.28496,                0.15829,                 1.6345,                 1.9623,                  1.308,               0.007921,               0.007921,               0.007921
                    108,                 1.7016,                 2.0257,                 1.3225,                0.36337,                0.33567,                0.28529,                0.15817,                 1.6328,                 1.9606,                 1.3072,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.6834,                 2.0066,                 1.3228,                0.35918,                0.33567,                0.28513,                0.15785,                 1.6313,                 1.9597,                 1.3059,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.6908,                 2.0075,                 1.3234,                0.36366,                0.33243,                0.28551,                0.15789,                 1.6309,                 1.9586,                 1.3057,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.6754,                 2.0036,                 1.3172,                 0.3723,                0.32731,                0.28501,                0.15844,                 1.6293,                 1.9568,                 1.3049,              0.0078418,              0.0078418,              0.0078418
                    112,                  1.693,                 2.0162,                 1.3253,                0.37641,                0.31994,                0.28611,                0.15939,                 1.6304,                 1.9548,                 1.3051,               0.007822,               0.007822,               0.007822
