                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                  1.389,                 1.4769,                 1.2098,                0.50937,                0.40872,                0.41005,                0.25379,                 1.4383,                 1.7024,                 1.3025,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.3676,                 1.4592,                 1.2009,                0.50335,                0.40767,                0.40998,                 0.2545,                 1.4412,                 1.7026,                 1.3027,               0.008119,               0.008119,               0.008119
                     98,                 1.3694,                 1.4598,                 1.2067,                0.50514,                0.40961,                0.41048,                0.25469,                 1.4399,                 1.7089,                 1.2999,              0.0080992,              0.0080992,              0.0080992
                     99,                  1.366,                 1.4419,                 1.1976,                0.50296,                0.41503,                0.41136,                0.25478,                 1.4438,                 1.7113,                 1.3026,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.3714,                  1.448,                 1.1967,                0.51371,                 0.4117,                0.41181,                0.25512,                  1.443,                 1.7125,                 1.3016,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.3724,                 1.4467,                 1.2014,                0.51075,                0.41061,                0.41235,                0.25522,                 1.4433,                 1.7115,                 1.3016,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.3688,                 1.4364,                 1.1936,                0.51302,                0.41371,                0.41223,                0.25526,                 1.4412,                 1.7113,                 1.3004,                0.00802,                0.00802,                0.00802
                    103,                 1.3664,                  1.437,                 1.1908,                0.50332,                0.41621,                0.41278,                0.25589,                 1.4425,                 1.7119,                 1.3022,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.3579,                 1.4203,                 1.1921,                0.50423,                0.41753,                0.41425,                0.25582,                 1.4431,                 1.7116,                 1.3021,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.3625,                 1.4343,                 1.1934,                0.50354,                0.41682,                0.41449,                 0.2567,                 1.4437,                 1.7138,                 1.3033,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.3488,                 1.4127,                 1.1884,                0.50174,                0.41944,                0.41463,                0.25691,                 1.4439,                  1.716,                 1.3013,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.3531,                  1.416,                 1.1874,                0.50605,                0.41517,                0.41542,                0.25701,                 1.4405,                 1.7115,                 1.2986,               0.007921,               0.007921,               0.007921
                    108,                 1.3442,                 1.3942,                 1.1821,                0.51317,                0.41429,                  0.415,                0.25643,                 1.4365,                 1.7088,                 1.2957,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.3477,                 1.3991,                  1.181,                0.51652,                0.41169,                0.41391,                0.25632,                 1.4346,                 1.7081,                 1.2941,              0.0078814,              0.0078814,              0.0078814
                    110,                   1.35,                  1.398,                 1.1862,                0.51261,                0.41281,                0.41398,                0.25642,                 1.4351,                 1.7028,                  1.294,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.3324,                 1.3839,                  1.183,                0.51048,                0.41334,                 0.4142,                0.25691,                 1.4316,                 1.7005,                 1.2916,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.3404,                 1.3834,                 1.1755,                0.50404,                0.42339,                0.41469,                0.25667,                 1.4276,                 1.6994,                 1.2894,               0.007822,               0.007822,               0.007822
                    113,                 1.3344,                 1.3684,                 1.1705,                0.49239,                0.43676,                0.41509,                 0.2572,                 1.4282,                 1.6968,                 1.2892,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.3245,                 1.3601,                 1.1711,                 0.5004,                0.42505,                0.41421,                0.25686,                 1.4258,                 1.6958,                  1.288,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.3283,                 1.3605,                 1.1748,                0.47825,                0.44068,                0.41407,                0.25737,                 1.4242,                 1.6939,                 1.2862,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.3345,                 1.3635,                 1.1752,                0.47302,                0.44424,                0.41487,                0.25773,                 1.4233,                 1.6932,                 1.2851,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.3271,                 1.3552,                 1.1735,                0.47883,                0.44034,                0.41409,                0.25732,                 1.4224,                 1.6935,                  1.284,               0.007723,               0.007723,               0.007723
                    118,                 1.3129,                 1.3397,                  1.168,                0.48085,                0.43707,                0.41433,                0.25853,                 1.4193,                 1.6896,                 1.2821,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.3203,                 1.3444,                 1.1665,                 0.4852,                0.43602,                0.41529,                0.25932,                 1.4174,                  1.689,                 1.2807,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.3132,                 1.3346,                 1.1644,                0.48092,                0.43442,                0.41522,                 0.2595,                 1.4187,                 1.6906,                 1.2817,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.3152,                 1.3343,                 1.1653,                0.49699,                 0.4262,                0.41468,                0.25956,                 1.4178,                 1.6866,                 1.2815,              0.0076438,              0.0076438,              0.0076438
                    122,                  1.321,                 1.3345,                 1.1643,                0.49277,                0.42826,                0.41505,                0.25968,                 1.4163,                 1.6889,                   1.28,               0.007624,               0.007624,               0.007624
                    123,                 1.3174,                 1.3281,                 1.1642,                0.50526,                0.41886,                0.41494,                0.26045,                 1.4162,                  1.689,                 1.2797,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.3155,                 1.3336,                 1.1624,                0.50525,                0.41765,                0.41498,                0.26035,                 1.4137,                 1.6876,                  1.278,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.3154,                 1.3149,                 1.1607,                0.50653,                  0.419,                0.41509,                0.25999,                 1.4148,                 1.6868,                 1.2788,              0.0075646,              0.0075646,              0.0075646
